,item_number,soldYN
1, 360965513299 ,1
2, 271642453308 ,1
3, 131340706564 ,1
4, 301379206822 ,0
5, 261644632882 ,1
6, 171516306178 ,0
7, 321577365355 ,0
8, 161465126230 ,0
9, 221594292474 ,0
10, 171381643301 ,0
11, 111452522431 ,0
12, 201098229136 ,0
13, 121474607088 ,0
14, 251703690759 ,1
15, 261651069497 ,0
16, 361102978289 ,0
17, 171506698375 ,0
18, 330947838858 ,0
19, 251605048092 ,1
20, 321571575805 ,0
21, 161462128402 ,1
22, 121479079973 ,1
23, 181569443747 ,0
24, 131304420938 ,0
25, 151399592288 ,0
26, 271661443621 ,1
27, 321577457224 ,0
28, 111505437468 ,1
29, 251698468736 ,0
30, 171516306180 ,0
31, 251677602401 ,0
32, 171525043277 ,0
33, 181560515770 ,1
34, 321562990349 ,1
35, 161471529159 ,0
36, 171525032471 ,1
37, 181569443756 ,0
38, 201213496646 ,0
39, 201210486655 ,0
40, 151446664925 ,0
41, 291281578192 ,1
42, 181574326030 ,1
43, 281482573479 ,0
44, 171500476310 ,0
45, 301373163147 ,0
46, 251675403735 ,0
47, 171526148206 ,1
48, 191363262971 ,0
49, 121480448869 ,0
50, 281469932473 ,0
51, 111502955391 ,1
52, 201202402453 ,1
53, 261625498075 ,0
54, 161449593010 ,0
55, 121394205043 ,0
56, 261651298839 ,0
57, 181575103791 ,1
58, 261653213454 ,1
59, 321571710279 ,0
60, 251698478339 ,1
61, 141453891044 ,0
62, 181562998922 ,0
63, 360890752690 ,0
64, 251689141414 ,0
65, 361102978291 ,0
66, 201213537730 ,1
67, 141462100296 ,0
68, 361107981662 ,0
69, 111506935786 ,0
70, 111501298113 ,0
71, 291277727021 ,0
72, 361096855384 ,0
73, 381041003523 ,0
74, 321577761402 ,0
75, 311161188268 ,0
76, 171466659796 ,1
77, 141462845327 ,1
78, 361105582238 ,0
79, 130897746492 ,1
80, 151461227240 ,0
81, 300898695225 ,0
82, 301351415191 ,0
83, 291287879171 ,0
84, 201199896046 ,0
85, 191372830662 ,1
86, 281476689683 ,1
87, 131281008396 ,0
88, 371181959641 ,0
89, 351214134773 ,1
90, 141462100301 ,0
91, 261645280755 ,1
92, 171528937632 ,0
93, 321575488080 ,0
94, 331247852937 ,0
95, 251695197481 ,0
96, 121482216422 ,0
97, 171527371887 ,1
98, 271655661904 ,1
